,0_дрон_беспилотный_бас,1_стартап_бизнес_предприниматель,3_креативный_индустрия_экономика,5_туризм_туристический_маршрут,6_бренд_победитель_одежда
2019-02-18,0,1,0,1,0
2019-02-25,1,2,0,0,0
2019-03-04,0,1,0,1,0
2019-03-11,0,0,0,0,0
2019-03-18,0,0,0,0,0
2019-03-25,0,1,0,0,0
2019-04-01,0,1,0,0,0
2019-04-08,0,1,0,0,0
2019-04-15,0,0,0,0,0
2019-04-22,0,0,0,0,0
2019-04-29,0,0,0,0,0
2019-05-06,0,0,0,0,0
2019-05-13,0,1,0,0,0
2019-05-20,0,4,0,0,0
2019-05-27,0,0,0,0,0
2019-06-03,0,1,0,2,0
2019-06-10,0,0,0,0,0
2019-06-17,0,0,0,0,0
2019-06-24,0,3,0,0,0
2019-07-01,0,1,0,0,0
2019-07-08,0,1,0,0,0
2019-07-15,0,0,0,0,0
2019-07-22,0,2,0,0,0
2019-07-29,0,1,0,0,0
2019-08-05,0,0,0,0,0
2019-08-12,0,0,0,0,0
2019-08-19,1,1,0,1,0
2019-08-26,0,2,0,0,0
2019-09-02,0,1,0,0,0
2019-09-09,0,2,0,0,0
2019-09-16,0,1,0,0,0
2019-09-23,0,2,0,1,0
2019-09-30,0,3,0,0,0
2019-10-07,0,2,0,1,0
2019-10-14,0,2,0,0,0
2019-10-21,0,2,0,1,0
2019-10-28,0,1,0,0,0
2019-11-04,0,2,0,0,0
2019-11-11,0,2,0,1,0
2019-11-18,0,5,0,0,0
2019-11-25,0,0,0,2,0
2019-12-02,1,2,0,1,0
2019-12-09,0,1,0,0,0
2019-12-16,0,7,1,1,0
2019-12-23,0,1,0,0,0
2019-12-30,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-13,0,1,0,0,0
2020-01-20,0,3,0,0,0
2020-01-27,0,0,0,0,0
2020-02-03,0,2,0,0,0
2020-02-10,0,1,0,0,0
2020-02-17,1,1,0,0,0
2020-02-24,0,1,1,0,0
2020-03-02,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-23,0,1,0,1,0
2020-03-30,0,0,0,0,0
2020-04-06,0,2,0,0,0
2020-04-13,0,1,0,1,0
2020-04-20,0,1,0,0,0
2020-04-27,1,2,0,0,0
2020-05-04,0,1,0,1,0
2020-05-11,0,0,0,0,0
2020-05-18,0,1,0,0,0
2020-05-25,0,2,0,0,0
2020-06-01,0,0,0,0,0
2020-06-08,0,0,0,2,0
2020-06-15,0,4,1,2,0
2020-06-22,0,0,0,0,0
2020-06-29,0,1,1,1,0
2020-07-06,0,0,0,1,0
2020-07-13,1,3,0,2,0
2020-07-20,0,0,1,2,0
2020-07-27,0,0,0,0,0
2020-08-03,0,0,0,2,0
2020-08-10,0,1,0,0,0
2020-08-17,0,2,0,1,0
2020-08-24,0,1,1,0,0
2020-08-31,1,0,0,1,0
2020-09-07,0,1,2,2,0
2020-09-14,0,0,1,1,0
2020-09-21,1,3,2,0,0
2020-09-28,0,2,0,0,0
2020-10-05,0,2,0,0,0
2020-10-12,0,1,0,0,0
2020-10-19,0,2,0,1,0
2020-10-26,0,2,1,1,0
2020-11-02,1,14,0,2,0
2020-11-09,5,22,9,5,1
2020-11-16,2,2,0,0,0
2020-11-23,0,1,1,1,0
2020-11-30,0,0,0,1,0
2020-12-07,0,2,0,3,0
2020-12-14,0,3,1,2,0
2020-12-21,0,2,0,4,0
2020-12-28,0,0,0,0,0
2021-01-04,0,0,0,0,0
2021-01-11,0,2,0,1,0
2021-01-18,0,0,0,0,0
2021-01-25,0,1,0,0,0
2021-02-01,0,2,1,1,0
2021-02-08,0,1,2,1,0
2021-02-15,0,3,1,1,0
2021-02-22,0,0,1,1,0
2021-03-01,0,0,0,0,0
2021-03-08,0,1,0,5,0
2021-03-15,1,1,0,1,0
2021-03-22,0,1,0,2,0
2021-03-29,0,0,1,2,0
2021-04-05,0,0,3,0,0
2021-04-12,0,1,0,0,0
2021-04-19,0,0,1,2,0
2021-04-26,2,2,0,1,0
2021-05-03,0,1,0,0,0
2021-05-10,1,0,0,0,0
2021-05-17,2,2,1,3,0
2021-05-24,2,2,0,0,0
2021-05-31,0,2,1,0,0
2021-06-07,1,3,0,0,0
2021-06-14,0,1,2,0,0
2021-06-21,1,2,1,1,1
2021-06-28,0,2,0,1,0
2021-07-05,0,1,1,6,0
2021-07-12,1,2,0,1,0
2021-07-19,2,0,0,2,0
2021-07-26,2,2,0,3,0
2021-08-02,3,2,1,2,0
2021-08-09,1,2,0,4,0
2021-08-16,0,2,1,1,0
2021-08-23,0,2,1,1,0
2021-08-30,0,1,1,1,0
2021-09-06,0,0,0,0,0
2021-09-13,0,1,1,0,0
2021-09-20,0,2,0,1,0
2021-09-27,0,0,0,1,0
2021-10-04,0,0,0,1,0
2021-10-11,0,1,1,0,0
2021-10-18,1,1,0,2,0
2021-10-25,0,1,0,1,0
2021-11-01,0,2,0,0,0
2021-11-08,0,2,0,1,0
2021-11-15,1,0,2,1,0
2021-11-22,0,1,1,2,0
2021-11-29,0,1,0,1,0
2021-12-06,0,0,0,0,0
2021-12-13,1,1,1,0,0
2021-12-20,1,1,0,0,0
2021-12-27,0,0,1,3,0
2022-01-03,0,0,0,0,0
2022-01-10,0,0,0,1,0
2022-01-17,0,1,0,0,0
2022-01-24,0,1,1,0,0
2022-01-31,0,1,1,0,0
2022-02-07,0,0,0,0,0
2022-02-14,0,0,0,0,0
2022-02-21,1,1,0,0,0
2022-02-28,0,2,1,0,0
2022-03-07,0,0,0,0,0
2022-03-14,0,2,0,0,0
2022-03-21,0,2,0,0,0
2022-03-28,2,0,1,0,0
2022-04-04,0,1,1,4,0
2022-04-11,0,1,1,0,0
2022-04-18,0,0,0,1,0
2022-04-25,0,2,0,1,0
2022-05-02,1,1,0,0,0
2022-05-09,2,2,0,1,0
2022-05-16,1,2,0,1,0
2022-05-23,0,1,0,0,0
2022-05-30,0,3,0,0,1
2022-06-06,0,2,0,0,0
2022-06-13,0,2,0,0,0
2022-06-20,0,1,0,1,0
2022-06-27,0,1,0,0,0
2022-07-04,6,7,1,0,0
2022-07-11,3,4,0,0,0
2022-07-18,3,5,0,0,0
2022-07-25,1,1,0,0,0
2022-08-01,0,2,0,0,0
2022-08-08,1,2,0,0,0
2022-08-15,0,0,0,0,0
2022-08-22,3,1,0,1,0
2022-08-29,1,2,0,0,1
2022-09-05,2,2,0,0,0
2022-09-12,4,3,0,1,0
2022-09-19,3,1,0,0,1
2022-09-26,2,1,0,0,0
2022-10-03,1,5,0,0,0
2022-10-10,4,4,0,0,0
2022-10-17,4,3,0,0,0
2022-10-24,5,3,0,1,1
2022-10-31,2,2,0,0,0
2022-11-07,2,5,0,1,0
2022-11-14,11,3,0,0,0
2022-11-21,8,2,1,1,0
2022-11-28,5,4,0,0,0
2022-12-05,1,3,0,1,0
2022-12-12,1,0,0,1,0
2022-12-19,6,3,0,0,0
2022-12-26,5,1,0,1,0
2023-01-02,0,0,0,0,0
2023-01-09,2,0,0,0,0
2023-01-16,1,2,0,0,0
2023-01-23,1,3,0,0,0
2023-01-30,2,1,1,0,0
2023-02-06,3,3,0,0,1
2023-02-13,1,1,0,0,1
2023-02-20,0,1,0,1,0
2023-02-27,1,0,0,0,0
2023-03-06,1,2,1,1,0
2023-03-13,1,1,0,0,0
2023-03-20,1,0,0,0,0
2023-03-27,3,2,0,3,0
2023-04-03,2,0,0,0,2
2023-04-10,3,2,0,2,2
2023-04-17,2,3,0,1,2
2023-04-24,5,2,0,0,4
2023-05-01,3,1,0,0,3
2023-05-08,0,1,0,0,0
2023-05-15,4,2,0,0,0
2023-05-22,4,2,0,0,1
2023-05-29,1,1,9,0,0
2023-06-05,2,1,2,2,1
2023-06-12,9,2,0,2,8
2023-06-19,2,4,0,0,1
2023-06-26,9,3,1,0,9
2023-07-03,2,1,2,3,3
2023-07-10,7,3,0,0,2
2023-07-17,6,1,0,0,4
2023-07-24,5,2,1,0,7
2023-07-31,18,1,1,0,3
2023-08-07,8,2,3,1,2
2023-08-14,6,2,3,2,1
2023-08-21,4,3,0,0,0
2023-08-28,5,1,1,0,0
2023-09-04,5,6,2,5,0
2023-09-11,6,3,3,0,4
2023-09-18,4,1,0,0,0
2023-09-25,2,2,1,3,0
2023-10-02,4,6,0,4,3
2023-10-09,3,1,0,2,0
2023-10-16,9,1,2,1,0
2023-10-23,3,1,1,1,0
2023-10-30,6,0,2,1,5
2023-11-06,5,3,0,0,1
2023-11-13,3,1,0,1,0
2023-11-20,3,3,1,0,9
2023-11-27,5,1,3,1,4
2023-12-04,7,0,2,1,2
2023-12-11,3,0,1,0,5
2023-12-18,2,1,0,0,1
2023-12-25,3,3,0,1,2
2024-01-01,2,0,0,0,1
2024-01-08,4,0,0,1,2
2024-01-15,0,0,1,1,5
2024-01-22,1,0,0,3,4
2024-01-29,2,0,0,0,5
2024-02-05,6,2,0,0,2
2024-02-12,4,0,0,0,2
2024-02-19,0,2,0,2,3
2024-02-26,1,1,0,0,11
2024-03-04,3,3,1,0,1
2024-03-11,6,3,0,0,1
2024-03-18,5,2,1,0,0
2024-03-25,3,0,3,0,1
2024-04-01,5,1,0,1,3
2024-04-08,8,1,1,0,1
2024-04-15,6,2,2,0,0
2024-04-22,4,2,0,0,2
2024-04-29,1,0,0,1,1
2024-05-06,2,0,1,1,0
2024-05-13,5,2,1,1,0
2024-05-20,9,0,1,0,2
2024-05-27,2,5,0,2,0
2024-06-03,3,3,4,3,3
2024-06-10,6,0,2,3,0
2024-06-17,1,2,2,0,0
2024-06-24,2,2,1,1,1
2024-07-01,2,0,3,1,0
2024-07-08,10,0,1,1,1
2024-07-15,6,1,2,1,2
2024-07-22,5,0,0,0,2
2024-07-29,2,1,3,1,0
2024-08-05,3,0,0,1,0
2024-08-12,2,0,0,0,0
2024-08-19,2,0,2,1,0
2024-08-26,3,1,0,0,0
2024-09-02,2,3,2,0,1
2024-09-09,1,2,0,0,0
2024-09-16,4,1,3,0,0
2024-09-23,4,2,1,0,0
2024-09-30,4,2,4,0,0
2024-10-07,3,1,0,1,0
2024-10-14,2,3,0,0,0
2024-10-21,3,1,2,0,0
2024-10-28,6,1,4,0,0
2024-11-04,3,2,0,1,0
2024-11-11,2,3,4,0,0
2024-11-18,1,3,2,0,2
2024-11-25,1,1,1,0,1
2024-12-02,2,3,5,1,0
2024-12-09,1,1,2,0,1
2024-12-16,1,0,3,0,1
2024-12-23,1,1,1,2,2
2024-12-30,0,1,0,1,0
2025-01-06,0,0,1,0,0
2025-01-13,0,1,1,0,0
2025-01-20,1,1,2,0,5
2025-01-27,2,2,0,0,0
2025-02-03,6,2,2,0,0
2025-02-10,2,1,2,1,1
2025-02-17,2,2,3,0,0
2025-02-24,3,4,2,1,1
2025-03-03,1,3,1,2,1
2025-03-10,3,1,1,0,1
2025-03-17,4,2,5,0,1
2025-03-24,1,4,4,1,1
2025-03-31,4,1,2,1,6
2025-04-07,2,1,1,0,0
2025-04-14,2,0,1,1,2
2025-04-21,2,2,3,1,2
2025-04-28,2,2,0,0,1
2025-05-05,2,2,0,0,2
2025-05-12,1,5,2,2,3
2025-05-19,5,7,1,1,5
2025-05-26,3,4,3,0,2
2025-06-02,6,2,1,2,2
2025-06-09,1,3,0,2,1
2025-06-16,6,2,6,2,5
2025-06-23,2,1,1,2,1
2025-06-30,5,1,1,2,2
2025-07-07,3,1,1,3,0
2025-07-14,5,1,3,0,4
2025-07-21,3,0,0,1,0
2025-07-28,5,0,2,1,2
2025-08-04,11,0,0,0,2
2025-08-11,21,5,0,1,1
2025-08-18,6,4,2,1,1
2025-08-25,5,1,0,1,0
2025-09-01,2,5,6,0,3
2025-09-08,4,4,0,0,0
2025-09-15,2,2,1,2,1
2025-09-22,3,0,2,0,0
2025-09-29,4,1,4,1,0
2025-10-06,1,2,16,0,1
2025-10-13,2,2,0,3,0
2025-10-20,2,1,1,0,1
2025-10-27,4,4,0,3,0
2025-11-03,0,1,1,0,0
2025-11-10,2,5,0,0,2
2025-11-17,3,1,1,1,0
2025-11-24,1,2,2,0,0
2025-12-01,3,0,0,0,2
2025-12-08,5,0,1,2,2
2025-12-15,2,1,2,0,0
2025-12-22,0,0,0,0,0
2025-12-29,0,0,0,0,0
